Date,Description,Amount,Type,Category
"07-13-2026","AMAZON MKTPL*M87K56K Amzn.com/bill WA        07/13",26.00,"expense","Amazon & Target"
"07-13-2026","IC* INSTACART*1102 INSTACART.COM CA          07/12",118.92,"expense","Car"
"07-13-2026","AMAZON MKTPL*BY9F07B Amzn.com/bill WA        07/12",28.38,"expense","Amazon & Target"
"07-13-2026","VCN*NEWJERSEYVITALREC 866-255-1857 NJ        07/12",96.00,"expense","Random"
"07-13-2026","Zelle payment to Zalman Whitt Energy Healing JPM99cp6srhw",130.00,"expense","Charity"
"07-13-2026","AMAZON MKTPL*R31HP19 Amzn.com/bill WA        07/10",36.84,"expense","Amazon & Target"
"07-13-2026","SP JELLYBEANZ KIDS JELLYBEANZKID NY          07/10",240.98,"expense","Random"
"07-13-2026","IBI*FABLETICS.COM 844-3225384 CA             07/10",69.95,"expense","Random"
"07-13-2026","Eat Git Spring Valley NY                     07/10",3.50,"expense","Random"
"07-13-2026","EVERGREEN KOSHER MARKET MONSEY NY            07/09",344.48,"expense","Grocery"
"07-13-2026","NEWDAY 845-414-3000 NY                       07/10",125.61,"expense","Random"
"07-10-2026","CHECK 28112",100.00,"expense","Random"
"07-10-2026","IC* COSTCO BY INSTAC INSTACART.COM CA        07/10",120.80,"expense","Car"
"07-10-2026","Online Transfer to  SAV ...8440 transaction#: 29561617811",40.00,"expense","Random"
"07-10-2026","1-800-690-1803   UptempoMkt                 PPD ID: 472223289",445.40,"expense","Random"
"07-10-2026","IC* INSTACART INSTACART.COM CA               07/09",62.32,"expense","Car"
"07-10-2026","TARGET.COM  * 800-591-3869 MN                07/09",40.06,"expense","Amazon & Target"
"07-10-2026","TARGET.COM 800-591-3869 MN                   07/09",10.00,"expense","Amazon & Target"
"07-10-2026","NEWDAY AIRMONT NY                            07/09",34.46,"expense","Random"
"07-09-2026","Zelle payment to Rifky Deutsch 29947122162",420.00,"expense","Charity"
"07-09-2026","NAKI.AUDIO NAKI.AUDIO NY                     07/09",12.99,"expense","Random"
"07-09-2026","MONSEY TAKEOUT 184-54252300 NY               07/08",21.68,"expense","Takeout"
"07-09-2026","AMAZON MKTPL*VH0DS8B Amzn.com/bill WA        07/08",10.83,"expense","Amazon & Target"
"07-09-2026","AMAZON MKTPL*C71XE8I Amzn.com/bill WA        07/08",6.47,"expense","Amazon & Target"
"07-09-2026","AMAZON MKTPL*EV5IY22 Amzn.com/bill WA        07/08",200.63,"expense","Amazon & Target"
"07-09-2026","LUGGAGE SERVICE 2020 732-364-9256 NJ         07/08",230.00,"expense","Random"
"07-09-2026","TOIREM.ORG CHARITY 845-286-4736 NY           07/08",72.00,"expense","Charity"
"07-08-2026","DABBL JUSTDABBL.COM FL                       07/08",19.99,"expense","Random"
"07-08-2026","Amazon.com*BM9I00Z63 Amzn.com/bill WA        07/08",1.61,"expense","Amazon & Target"
"07-08-2026","Amazon.com*L93JL1WT3 Amzn.com/bill WA        07/08",3.70,"expense","Amazon & Target"
"07-08-2026","AMAZON MKTPL*OU1X68B Amzn.com/bill WA        07/08",14.07,"expense","Amazon & Target"
"07-08-2026","LHACHZIKUM MONSEY 845-5401052 NY             07/07",72.00,"expense","Random"
"07-08-2026","AMAZON MKTPL*NV7IO1W Amzn.com/bill WA        07/08",23.83,"expense","Amazon & Target"
"07-08-2026","AMAZON MKTPL*0042E53 Amzn.com/bill WA        07/08",12.44,"expense","Amazon & Target"
"07-08-2026","EVERGREEN KO*109617302 845-3524400 NY        07/06",196.23,"expense","Random"
"07-07-2026","Zelle payment to Neil 29921933268",50.00,"expense","Charity"
"07-07-2026","Zelle payment to Mabel  29921932629",200.00,"expense","Charity"
"07-07-2026","O & R UTILITIES  ORU        81773200001     CCD ID: 2462467001",637.00,"expense","Random"
"07-07-2026","MR. CAN 845-666-4146 NY                      07/06",42.00,"expense","Random"
"07-06-2026","CHAI PIZZA MONSEY WEB.CURBNGO.C NY           07/05",116.99,"expense","Random"
"07-06-2026","BAGEL D LOX 845-3564700 NY                   07/05",15.92,"expense","Random"
"07-06-2026","AMAZON MKTPL*531QN93 Amzn.com/bill WA        07/06",9.20,"expense","Amazon & Target"
"07-06-2026","Peacock D9F0C Premium 212-6640138 NY         07/04",10.99,"expense","Random"
"07-06-2026","GLAUBERS BAKERY SPRING VALLEY NY             07/03",70.19,"expense","Random"
"07-06-2026","HATZLACHA GROCERY SPRING VALLEY NY           07/03",84.33,"expense","Grocery"
"07-06-2026","AMAZON MKTPL*AG9SX2E Amzn.com/bill WA        07/04",15.70,"expense","Amazon & Target"
"07-06-2026","GOOGLE *Google One 855-836-3987 CA           07/05",3.24,"expense","Random"
"07-06-2026","AMAZON MKTPL*KH8TD37 Amzn.com/bill WA        07/04",8.33,"expense","Amazon & Target"
"07-06-2026","WWW.24SIX.APP WWW.24SIX.APP NY               07/03",9.99,"expense","Random"
"07-06-2026","NEWDAY 845-414-3000 NY                       07/03",94.22,"expense","Random"
"07-06-2026","Zelle payment from HANNAH ROSENBERG 29904810133",30.00,"income","Charity"
"07-06-2026","Zelle payment from YITZCHOK SCHWARTZ MNTus0a271gr",125.00,"income","Charity"
"07-03-2026","BINGO WHOLESALE SUPE SPRING VALLEY NY        07/03",292.52,"expense","Random"
"07-03-2026","IC* COSTCO BY INSTAC INSTACART.COM CA        07/03",212.48,"expense","Car"
"07-03-2026","AMAZON MKTPL*TZ0PR93 Amzn.com/bill WA        07/03",28.17,"expense","Amazon & Target"
"07-03-2026","AMAZON MKTPL*6N3SU6A Amzn.com/bill WA        07/03",173.92,"expense","Amazon & Target"
"07-02-2026","NEWREZ-SHELLPOIN ACH PMT                    PPD ID: 6371542226",1471.35,"expense","Car"
"07-02-2026","Zelle payment to Shana Bressler Camp Glitter Girl JPM99co493bk",750.00,"expense","Camp"
"07-02-2026","Zelle payment to Shana Bressler Camp Glitter Girl JPM99co4867x",600.00,"expense","Camp"
"07-02-2026","UNITED REFUAH HS UNITED REF                 PPD ID: 9208701002",199.00,"expense","Random"
"07-02-2026","IC* INSTACART INSTACART.COM CA               07/02",70.64,"expense","Car"
"07-02-2026","MICROSOFT*MICROSOFT 36 REDMOND WA            07/02",14.08,"expense","Random"
"07-02-2026","Melaleuca, Inc. Regula Idaho Falls ID        07/01",123.37,"expense","Random"
"07-02-2026","IBI*FABLETICS.COM 844-3225384 CA             07/01",79.18,"expense","Random"
"07-02-2026","Amazon.com*XI34I2U63 Amzn.com/bill WA        07/01",36.91,"expense","Amazon & Target"
"07-02-2026","NEWDAY AIRMONT NY                            07/01",2.15,"expense","Random"
"07-02-2026","NEWDAY AIRMONT NY                            07/01",8.25,"expense","Random"
"07-02-2026","Zelle payment from JONATHAN KATZMAN MSPPIxVc3RRc",22.41,"income","Charity"
"07-02-2026","CYM Living LLC   PAYROLL                    PPD ID: 9843518375",421.92,"income","Paychecks"
"07-02-2026","GENTLEBIRTH REDWOOD CITY CA                  07/01",14.99,"income","Random"
"07-01-2026","DOMESTIC INCOMING WIRE FEE",15.00,"expense","Random"
"07-01-2026","Zelle payment to Neil 29845192322",91.00,"expense","Charity"
"07-01-2026","ALLSTATE INS CO  INS PREM   000000943582764 WEB ID: 1360719665",424.84,"expense","Random"
"07-01-2026","AMAZON MKTPL*PZ8GE15 Amzn.com/bill WA        07/01",46.59,"expense","Amazon & Target"
"07-01-2026","Amazon.com*GN5TN8BM3 Amzn.com/bill WA        07/01",18.42,"expense","Amazon & Target"
"07-01-2026","MAPLE PHARMACY 845-371-6464 NY               06/30",25.73,"expense","Medical"
"07-01-2026","AZ PARKING CORP NEW YORK NY                  06/30",75.50,"expense","Random"
"07-01-2026","SHULSPACE SHULSPACE.COM NJ                   06/30",120.00,"expense","Random"
"07-01-2026","GENTLEBIRTH GENTLEBIRTH.C CA                 06/30",14.99,"expense","Random"
"07-01-2026","NEWDAY 845-414-3000 NY                       06/30",142.64,"expense","Random"
"07-01-2026","FEDWIRE CREDIT VIA: DIME COMMERCIAL BANK/021406667 B/O: LYNX PORTFOLIO LLC CHESTNUT RIDGE NY 10977-6221 REF: CHASE NYC/CTR/BNF=SIMCHA M PENTELNIK OR LEAH SPRING VALLEY NY 10977-72 15 US/AC-000000004001 RFB=NOTPROVID ED IMAD: 0701GMQFMP01000737 TRN: 0232171182FF",12500.00,"income","Random"
"06-30-2026","PRIMO BRANDS/WATERSER 800-274-5282 CA        06/30",75.80,"expense","Utilities"
"06-30-2026","PAY*CAMP AISH SLEEPAWA 973-5573392 NJ        06/29",60.00,"expense","Camp"
"06-30-2026","AMAZON MKTPL*CJ95A2T Amzn.com/bill WA        06/30",16.58,"expense","Amazon & Target"
"06-30-2026","AMAZON MKTPL*F55W350 Amzn.com/bill WA        06/30",65.50,"expense","Amazon & Target"
"06-30-2026","Amazon Tips*FX7XR9CD Amzn.com/bill WA        06/29",10.00,"expense","Amazon & Target"
"06-30-2026","KEREN HATZEDAKA LAKEWOOD NJ                  06/28",56.00,"expense","Random"
"06-30-2026","EVERGREEN KOSHER MARKET MONSEY NY            06/28",24.86,"expense","Grocery"
"06-30-2026","AMAZON MKTPL*MB5LP7D Amzn.com/bill WA        06/30",130.22,"expense","Amazon & Target"
"06-29-2026","TARGET.COM BROOKLYN PARK MN                  06/29",3.98,"expense","Amazon & Target"
"06-29-2026","TARGET.COM WWW.TARGET.CO MN                  06/29",118.20,"expense","Amazon & Target"
"06-29-2026","Zelle payment to Neil 29796908076",300.00,"expense","Charity"
"06-29-2026","Zelle payment to Mabel  29795313534",200.00,"expense","Charity"
"06-29-2026","Amazon.com*MK2TF8KD3 Amzn.com/bill WA        06/29",58.95,"expense","Amazon & Target"
"06-29-2026","Amazon.com*OO8Z595E3 Amzn.com/bill WA        06/29",33.93,"expense","Amazon & Target"
"06-29-2026","APPLE.COM/BILL 866-712-7753 CA               06/28",18.99,"expense","Random"
"06-29-2026","IC* COSTCO BY INSTAC INSTACART.COM CA        06/28",198.21,"expense","Car"
"06-29-2026","Amazon.com*031OF6J23 Amzn.com/bill WA        06/28",165.03,"expense","Amazon & Target"
"06-29-2026","IC* INSTACART INSTACART.COM CA               06/28",32.89,"expense","Car"
"06-29-2026","GOOGLE *Google One 855-836-3987 CA           06/28",3.24,"expense","Random"
"06-29-2026","Peacock C3947 Premium 212-6640138 NY         06/28",10.99,"expense","Random"
"06-29-2026","AMAZON MKTPL*QW2A922 Amzn.com/bill WA        06/28",77.48,"expense","Amazon & Target"
"06-29-2026","AMAZON MKTPL*2K6LV0I Amzn.com/bill WA        06/27",59.46,"expense","Amazon & Target"
"06-29-2026","JIOBIT.COM JIOBIT.COM CA                     06/27",9.74,"expense","Random"
"06-29-2026","AMAZON MKTPL*AF25V6H Amzn.com/bill WA        06/27",19.82,"expense","Amazon & Target"
"06-29-2026","TST*SHELIS IN TOWN SQUA Monsey NY            06/26",32.78,"expense","Random"
"06-29-2026","GLAUBERS BAKERY SPRING VALLEY NY             06/26",85.52,"expense","Random"
"06-29-2026","HATZLACHA GROCERY SPRING VALLEY NY           06/26",323.35,"expense","Grocery"
"06-29-2026","Liebergall Eye Associat Suffern NY           06/25",45.00,"expense","Random"
"06-29-2026","NEWDAY 845-414-3000 NY                       06/26",287.34,"expense","Random"
"06-29-2026","Amazon.com Servi PAYMENTS   TLR003889617862 CCD ID: 9000027358",18.48,"income","Amazon & Target"
"06-26-2026","Zelle payment to Mabel  29773564860",92.00,"expense","Charity"
"06-26-2026","1-800-690-1803   UptempoMkt                 PPD ID: 472223289",445.40,"expense","Random"
"06-26-2026","Blink amzn.com/bill WA                       06/25",4.32,"expense","Random"
"06-26-2026","OLYMPIA PITA OLYMPIAPITA.C NY                06/25",196.07,"expense","Random"
"06-25-2026","Zelle payment to Shachner JPM99cmmgphn",300.00,"expense","Charity"
"06-25-2026","MORC INC 8453710211 MIKVAHCLOUD.C NY         06/25",36.00,"expense","Random"
"06-25-2026","TST*PIES N FRIES - POMO Pomona NY            06/24",88.77,"expense","Random"
"06-25-2026","Amazon.com*AJ56V1OT3 Amzn.com/bill WA        06/24",137.68,"expense","Amazon & Target"
"06-25-2026","NJ EZPASS 888-288-6865 NJ                    06/24",35.00,"expense","Random"
"06-25-2026","IBI*FABLETICS.COM 844-3225384 CA             06/24",134.57,"expense","Random"
"06-25-2026","AMAZON MKTPL*X87Q34W Amzn.com/bill WA        06/25",192.96,"expense","Amazon & Target"
"06-24-2026","VEOLIA WATER NEW WATER BILL                 PPD ID: 7973470200",124.61,"expense","Utilities"
"06-24-2026","VISIBLE 866-331-3527 CO                      06/24",25.00,"expense","Random"
"06-24-2026","TOIREM.ORG CHARITY 845-2864736 NY            06/23",36.00,"expense","Charity"
"06-24-2026","TOIREM.ORG CHARITY 845-2864736 NY            06/23",36.00,"expense","Charity"
"06-24-2026","AMAZON MKTPL*GT79K72 Amzn.com/bill WA        06/24",90.06,"expense","Amazon & Target"
"06-24-2026","BINGO WHOLESALE SUPE SPRING VALLEY NY        06/22",11.99,"expense","Random"
"06-24-2026","NEWDAY 845-414-3000 NY                       06/23",258.99,"expense","Random"
"06-24-2026","Zelle payment from COMPREHENSIVE BOOKKEEPING SERVICES LLC 29746286579",7500.00,"income","Charity"
"06-23-2026","BINGO WHOLESALE SUPE SPRING VALLEY NY        06/23",41.99,"expense","Random"
"06-23-2026","Amazon.com*ZG8PR4A13 Amzn.com/bill WA        06/23",26.50,"expense","Amazon & Target"
"06-23-2026","Spotify USA 877-7781161 NY                   06/22",21.99,"expense","Random"
"06-23-2026","SP MYOHMY KIDS BOUTIQ 184-54050400 NY        06/22",323.11,"expense","Random"
"06-23-2026","STAPLES 0103 NANUET NY                       06/22",32.29,"expense","Random"
"06-23-2026","PETS PLACE II 845-6235565 NY                 06/22",27.60,"expense","Random"
"06-23-2026","PETS PLACE II 845-6235565 NY                 06/22",5.16,"expense","Random"
"06-23-2026","VCN*NEWJERSEYVITALREC 866-255-1857 NJ        06/22",50.00,"expense","Random"
"06-23-2026","AMAZON MKTPL*HE0ZO89 Amzn.com/bill WA        06/22",243.83,"expense","Amazon & Target"
"06-23-2026","AMAZON MKTPL*351QJ95 Amzn.com/bill WA        06/23",37.80,"expense","Amazon & Target"
"06-23-2026","AMAZON MKTPL*DX9OK0S Amzn.com/bill WA        06/23",119.06,"expense","Amazon & Target"
"06-23-2026","TOIREM.ORG CHARITY 845-2864736 NY            06/22",18.00,"expense","Charity"
"06-22-2026","Zelle payment to Mabel  29721134702",200.00,"expense","Charity"
"06-22-2026","Online Transfer to SAV ...8440 transaction#: 29713912439 06/22",525.00,"expense","Random"
"06-22-2026","BKAMERICA        IC PAYMENT                 PPD ID: 1409936115",1067.49,"expense","Random"
"06-22-2026","SP ELYS CO. ELYSANDCO.COM NJ                 06/22",51.90,"expense","Random"
"06-22-2026","Zelle payment to ROCHEL FIELD 29707603259",15.00,"expense","Charity"
"06-22-2026","SP JUNEES 134-75872780 NY                    06/21",173.05,"expense","Random"
"06-22-2026","WWW.24SIX.APP WWW.24SIX.APP NY               06/21",14.99,"expense","Random"
"06-22-2026","BAGEL D LOX 845-3564700 NY                   06/21",12.94,"expense","Random"
"06-22-2026","TOIREM.ORG CHARITY #2 845-286-4736 NY        06/21",100.00,"expense","Charity"
"06-22-2026","PRIMO BRANDS/WATERSER 800-274-5282 CA        06/22",75.80,"expense","Utilities"
"06-22-2026","BINGO WHOLESALE SUPE SPRING VALLEY NY        06/19",168.31,"expense","Random"
"06-22-2026","FSP*MY GLASSES GUY SPRING VALLEY NY          06/19",204.00,"expense","Random"
"06-22-2026","AMAZON MKTPL*M96RW6T Amzn.com/bill WA        06/20",14.62,"expense","Amazon & Target"
"06-22-2026","Amazon.com*FO3NR7O73 Amzn.com/bill WA        06/20",27.35,"expense","Amazon & Target"
"06-22-2026","AMAZON MKTPL*9L5JY73 Amzn.com/bill WA        06/20",37.10,"expense","Amazon & Target"
"06-22-2026","GAP.COM 800-427-7895 CA                      06/18",95.44,"expense","Random"
"06-22-2026","Prime Video *W67VO6XS 888-802-3080 WA        06/18",14.99,"expense","Subscriptions"
"06-22-2026","TOIREM.ORG CHARITY BROOKLYN NY               06/18",36.00,"expense","Charity"
"06-22-2026","TOIREM.ORG CHARITY BROOKLYN NY               06/18",36.00,"expense","Charity"
"06-22-2026","THE NEW STAND ST2858 KENNER LA               06/18",4.00,"expense","Random"
"06-22-2026","AMAZON MKTPL*0O9DI9L Amzn.com/bill WA        06/19",45.51,"expense","Amazon & Target"
"06-22-2026","IC* INSTACART INSTACART.COM CA               06/18",100.85,"expense","Car"
"06-22-2026","7-ELEVEN 19389 MONSEY NY                     06/18",4.52,"expense","Random"
"06-22-2026","PITA LAND 184-53681116 NY                    06/18",22.00,"expense","Random"
"06-22-2026","TORAHLIVE.COM JACKSON NJ 08                  06/18",14.99,"expense","Random"
"06-22-2026","AMAZON MKTPL*OC5TM5B Amzn.com/bill WA        06/18",59.33,"expense","Amazon & Target"
"06-22-2026","Amazon.com*JL4KX88P3 Amzn.com/bill WA        06/18",131.84,"expense","Amazon & Target"
"06-22-2026","NEWDAY 845-414-3000 NY                       06/18",237.86,"expense","Random"
"06-22-2026","Liebergall Eye Associat Suffern NY           06/17",45.00,"expense","Random"
"06-22-2026","Zelle payment from A TO Z APPLIANCE REPAIR LLC 29721264650",5000.00,"income","Charity"
"06-22-2026","REMOTE ONLINE DEPOSIT #          1",525.00,"income","Random"
"06-18-2026","NEWREZ-SHELLPOIN ACH PMT                    PPD ID: 6371542226",1471.35,"expense","Car"
"06-18-2026","PITA LAND 184-53681116 NY                    06/18",10.73,"expense","Random"
"06-18-2026","TOIREM.ORG CHARITY 845-2864736 NY            06/17",36.00,"expense","Charity"
"06-18-2026","LGA FIVEBOROSFOODEMP 13 FLUSHING NY          06/17",8.39,"expense","Random"
"06-18-2026","Amazon.com*EG9ZJ7EH3 Amzn.com/bill WA        06/18",8.94,"expense","Amazon & Target"
"06-18-2026","DISTRICT MARKET @LGA EAST ELMHURST NY        06/17",5.58,"expense","Grocery"
"06-18-2026","IC* COSTCO BY INSTAC INSTACART.COM CA        06/17",314.40,"expense","Car"
"06-18-2026","NEWDAY 845-414-3000 NY                       06/17",151.82,"expense","Random"
"06-18-2026","CYM Living LLC   PAYROLL                    PPD ID: 9843518375",3888.97,"income","Paychecks"
"06-17-2026","OPTIMUM 7873     CABLE PMNT                 PPD ID: 9078730001",157.00,"expense","Utilities"
"06-17-2026","AMAZON PRIME*U88MB1K amzn.com/bill WA        06/17",4.99,"expense","Amazon & Target"
"06-17-2026","Amazon.com*OK9SQ9RF3 Amzn.com/bill WA        06/17",27.08,"expense","Amazon & Target"
"06-17-2026","AMAZON MKTPL*PQ20W22 Amzn.com/bill WA        06/17",43.30,"expense","Amazon & Target"
"06-17-2026","WALMART.COM 800-925-6278 AR                  06/16",121.38,"expense","Random"
"06-16-2026","Zelle payment to Mabel  29647267276",200.00,"expense","Charity"
"06-16-2026","BINGO WHOLESALE SUPE SPRING VALLEY NY        06/16",39.42,"expense","Random"
"06-16-2026","SPRING VALLEY NANUET NY                      06/16",65.52,"expense","Random"
"06-16-2026","Zelle payment to Miriam P JPM99cl2t4u7",50.00,"expense","Charity"
"06-16-2026","Zelle payment to Zalman Whitt Energy Healing JPM99cl2t8ul",130.00,"expense","Charity"
"06-16-2026","CPP*YACHAD COOLAM INT 845-232-1091 NY        06/15",2013.65,"expense","Random"
"06-16-2026","NEWDAY 845-414-3000 NY                       06/15",213.30,"expense","Random"
"06-15-2026","Zelle payment to South Dexter Shul 29222018217",50.00,"expense","Charity"
"06-15-2026","GAP.COM 800-427-7895 CA                      06/15",27.71,"expense","Random"
"06-15-2026","US MOBILE WWW.USMOBILE. NY                   06/14",96.00,"expense","Random"
"06-15-2026","WAL-MART #2905 SUFFERN NY                    06/14",138.72,"expense","Random"
"06-15-2026","Amazon.com*1V0Y531N3 Amzn.com/bill WA        06/15",11.02,"expense","Amazon & Target"
"06-15-2026","ATM WITHDRAWAL                       004719  06/141 E CENTR",400.00,"expense","Random"
"06-15-2026","Zelle payment to Becher 29617170942",7.60,"expense","Charity"
"06-15-2026","BINGO WHOLESALE SUPE SPRING VALLEY NY        06/14",158.99,"expense","Random"
"06-15-2026","Audible*RS1FN8OC3 Amzn.com/bill NJ           06/13",14.95,"expense","Random"
"06-15-2026","Guardian Life ACH Paymnt                 PPD ID: 9555845002",37.25,"expense","Random"
"06-15-2026","THE GUARDIAN     INSUR PREM                 PPD ID: 9555845001",53.22,"expense","Random"
"06-15-2026","Amazon.com*0D3EG7SS3 Amzn.com/bill WA        06/13",16.66,"expense","Amazon & Target"
"06-15-2026","AMAZON MKTPL*F12BX0O Amzn.com/bill WA        06/13",37.43,"expense","Amazon & Target"
"06-15-2026","NEWDAY AIRMONT NY                            06/13",121.28,"expense","Random"
"06-15-2026","HATZLACHA GROCERY 845-4259220 NY             06/12",136.06,"expense","Grocery"
"06-15-2026","TOIREM.ORG CHARITY #2 845-286-4736 NY        06/12",20.00,"expense","Charity"
"06-15-2026","CONG CHASDEI LEV 718-8312500 NY              06/11",5.00,"expense","Random"
"06-15-2026","NEWDAY 845-414-3000 NY                       06/13",80.87,"expense","Random"
"06-15-2026","Online Transfer from SAV ...8440 transaction#: 29632585722",2000.00,"income","Random"
"06-12-2026","SHOPRITE PEARLRIVER S1 PEARL RIVER NJ858639  06/12",37.02,"expense","Random"
"06-12-2026","1-800-690-1803   UptempoMkt                 PPD ID: 472223289",445.40,"expense","Random"
"06-12-2026","DUNKIN #358081 RIDGEWOOD NJ                  06/11",16.29,"expense","Random"
"06-12-2026","AMAZON MKTPL*Q84WC59 Amzn.com/bill WA        06/12",31.41,"expense","Amazon & Target"
"06-12-2026","AMAZON MKTPL*PS3753C Amzn.com/bill WA        06/11",12.99,"expense","Amazon & Target"
"06-11-2026","TARGET.COM WWW.TARGET.CO MN                  06/11",29.99,"expense","Amazon & Target"
"06-11-2026","TARGET.COM WWW.TARGET.CO MN                  06/11",7.75,"expense","Amazon & Target"
"06-11-2026","LEHOSHEET YAD YAD.REACHHAND FL               06/10",36.00,"expense","Random"
"06-11-2026","MED*MMC PB POS TARRYTOWN NY                  06/10",45.00,"expense","Random"
"06-11-2026","TOIREM.ORG CHARITY 845-2864736 NY            06/10",5.00,"expense","Charity"
"06-11-2026","Amazon.com*B96OH2B53 Amzn.com/bill WA        06/11",14.08,"expense","Amazon & Target"
"06-11-2026","Amazon.com*2K6DL83P3 Amzn.com/bill WA        06/10",21.33,"expense","Amazon & Target"
"06-10-2026","Zelle payment to Mabel  29563146828",200.00,"expense","Charity"
"06-10-2026","Online Transfer to  SAV ...8440 transaction#: 29138268708",40.00,"expense","Random"
"06-10-2026","TST*YOFFEE COFFEE Airmont NY                 06/09",45.49,"expense","Takeout"
"06-10-2026","ORTHOFI ORTHOFI.COM CO                       06/09",150.00,"expense","Random"
